Desc1,Desc2,Exp,Lab
61.93000,20.09000,0.00000,Cat02
62.20000,27.28000,1.80000,Cat03
63.70000,21.46000,1.80000,Cat04
64.52000,14.25000,2.20000,Cat01
63.45000,30.39000,2.30000,Cat11
64.58000,27.24000,2.70000,Cat05
63.68000,34.70000,3.20000,Cat12
64.57000,35.74000,3.20000,Cat17
64.97000,29.94000,3.30000,Cat07
64.95000,23.65000,3.30000,Cat06
65.02000,32.74000,3.90000,Cat15
66.41000,32.52000,4.00000,Cat08
65.37000,40.25000,4.10000,Cat16
65.74000,33.29000,4.10000,Cat14
64.99000,36.16000,4.20000,Cat13
67.11000,42.97000,4.60000,Cat09
66.67000,49.17000,4.80000,Cat29
65.42000,46.35000,4.90000,Cat19
67.22000,37.69000,4.90000,Cat10
67.04000,45.04000,5.00000,Cat32
65.88000,51.50000,5.00000,Cat42
67.03000,47.33000,5.10000,Cat37
67.08000,45.40000,5.20000,Cat20
66.69000,48.63000,5.20000,Cat26
66.80000,47.94000,5.30000,Cat30
66.52000,41.22000,5.30000,Cat18
66.39000,46.17000,5.30000,Cat36
66.66000,42.38000,5.30000,Cat21
66.58000,45.57000,5.40000,Cat31
66.44000,50.93000,5.50000,Cat24
67.06000,51.51000,5.60000,Cat25
66.75000,49.95000,5.60000,Cat27
66.72000,48.77000,5.70000,Cat35
66.87000,48.83000,5.70000,Cat39
66.87000,48.83000,5.80000,Cat40
66.93000,49.02000,5.90000,Cat41
66.93000,48.97000,5.90000,Cat38
66.81000,50.20000,5.90000,Cat22
66.92000,49.00000,5.90000,Cat43
66.59000,51.00000,6.10000,Cat44
66.89000,48.95000,6.20000,Cat23
66.94000,50.18000,6.20000,Cat34
67.48000,53.12000,6.30000,Cat33
66.25000,51.30000,6.30000,Cat28
